plot_group	AFR	AMR	EAS	EUR	SAS	pvalue
Atypical Teratoid Rhabdoid Tumor	10 (90.9%)	10 (100%)	1 (100%)	26 (100%)	--	0.458
Choroid plexus tumor	--	0	1 (50%)	5 (20%)	--	0.471
Craniopharyngioma	0	1 (10%)	1 (100%)	2 (5%)	0	0.083
DIPG or DMG	5 (62.5%)	12 (85.7%)	2 (50%)	31 (66%)	1 (50%)	0.44
Ependymoma	6 (50%)	10 (62.5%)	4 (50%)	38 (48.1%)	1 (100%)	0.779
Germ cell tumor	1 (50%)	2 (66.7%)	2 (66.7%)	9 (75%)	--	0.885
Low-grade glioma	10 (24.4%)	22 (47.8%)	5 (41.7%)	89 (32.2%)	3 (33.3%)	0.172
Medulloblastoma	11 (91.7%)	30 (100%)	13 (100%)	118 (97.5%)	3 (100%)	0.495
Meningioma	0	1 (16.7%)	1 (33.3%)	3 (15%)	0	0.414
Mesenchymal tumor	1 (33.3%)	2 (28.6%)	1 (33.3%)	18 (62.1%)	2 (66.7%)	0.449
Mixed neuronal-glial tumor	1 (5.3%)	3 (13.6%)	1 (25%)	25 (18.5%)	3 (50%)	0.131
Neurofibroma plexiform	2 (66.7%)	2 (66.7%)	--	3 (27.3%)	0	0.589
Oligodendroglioma	0	0	0	2 (3.8%)	0	1
Other CNS embryonal tumor	2 (100%)	4 (100%)	--	8 (80%)	2 (100%)	1
Other high-grade glioma	6 (100%)	7 (53.8%)	5 (100%)	42 (72.4%)	2 (100%)	0.16
Other tumor	4 (66.7%)	10 (83.3%)	1 (50%)	16 (64%)	--	0.493
Schwannoma	0	1 (33.3%)	0	2 (14.3%)	0	0.683
